"Points_m_XYZ:0","Points_m_XYZ:1","Points_m_XYZ:2","X","Y","Z","intensity","laser_id","azimuth","distance_m","adjustedtime","timestamp","vertical_angle"
0.00140721770003438,0.5759105682373047,0.01005258597433567,0.00140721774956754,0.5759105531684146,0.01005258610787531,26.0,1.0,14.0,0.5760000000000001,10771530154273.0,330154273.0,1.0
0.001532040187157691,0.5851948857307434,0.03066886961460114,0.001532040170829852,0.5851949019291408,0.03066887035836508,25.0,3.0,15.0,0.586,10771530154278.0,330154278.0,3.0
0.001633765175938606,0.5850475430488586,-0.1137221604585648,0.00163376512802089,0.5850475201668702,-0.1137221612444207,11.0,4.0,16.0,0.596,10771530154280.0,330154280.0,-11.0
0.001708432100713253,0.575797975063324,0.05037602037191391,0.001708432073775411,0.5757980009851672,0.05037601930814642,7.0,5.0,17.0,0.578,10771530154283.0,330154283.0,5.0
0.001824510633014143,0.5807578563690186,-0.09198346734046936,0.001824510686488548,0.5807578783328993,-0.09198346544365575,11.0,6.0,18.0,0.588,10771530154285.0,330154285.0,-9.0
0.001882681739516556,0.5677332878112793,0.06970926374197006,0.001882681743318883,0.5677332771314327,0.06970926442774436,32.0,7.0,19.0,0.5720000000000001,10771530154287.0,330154287.0,7.0
0.001981769921258092,0.5677329301834106,-0.06970926374197006,0.001981769863731744,0.5677329398944102,-0.06970926442774436,23.0,8.0,20.0,0.5720000000000001,10771530154289.0,330154289.0,-7.0
0.001992756500840187,0.5708803534507751,0.09041912108659744,0.001992756556853273,0.5708803828441472,0.09041912079325344,49.0,9.0,20.0,0.578,10771530154292.0,330154292.0,9.0
0.002081204671412706,0.5678271651268005,-0.04967877268791199,0.002081204573776254,0.5678271639014422,-0.04967877336616516,7.0,10.0,21.0,0.5700000000000001,10771530154294.0,330154294.0,-5.0
0.00214842613786459,0.559523344039917,0.1087611243128777,0.002148426068608318,0.5595233698781512,0.1087611273646306,39.0,11.0,22.0,0.5700000000000001,10771530154296.0,330154296.0,11.0
0.002220844849944115,0.5532363057136536,-0.028994120657444,0.002220844792685654,0.5532363047268603,-0.02899411975859088,27.0,12.0,23.0,0.554,10771530154299.0,330154299.0,-3.0
0.002326409332454205,0.5553860664367676,0.1282221078872681,0.002326409313233371,0.555386064500188,0.1282221009760031,44.0,13.0,24.0,0.5700000000000001,10771530154301.0,330154301.0,13.0
0.002399454591795802,0.5499110221862793,-0.009598823264241219,0.002399454602384588,0.5499109975298271,-0.009598823540505933,12.0,14.0,25.0,0.55,10771530154303.0,330154303.0,-1.0
0.002554067643359304,0.5853455066680908,0.1568443477153778,0.002554067674491498,0.585345478611055,0.1568443413321276,34.0,15.0,25.0,0.606,10771530154306.0,330154306.0,15.0
0.003429378615692258,0.5779017806053162,0.01008749101310968,0.003429378525454828,0.5779017925996188,0.01008749092074987,35.0,1.0,34.0,0.578,10771530154329.0,330154329.0,1.0
0.003714523511007428,0.5911769866943359,0.03098288550972939,0.003714523615992308,0.5911770150162127,0.03098288609582274,24.0,3.0,36.0,0.592,10771530154333.0,330154333.0,3.0
0.003651281353086233,0.5811118483543396,-0.1129589229822159,0.003651281309151829,0.5811118217247423,-0.1129589252629145,11.0,4.0,36.0,0.592,10771530154336.0,330154336.0,-11.0
0.003615402150899172,0.559849739074707,0.04898152872920036,0.00361540217320723,0.5598497466627274,0.04898152742418389,8.0,5.0,37.0,0.562,10771530154338.0,330154338.0,5.0
0.003930329345166683,0.5925999879837036,-0.0938606783747673,0.003930329470255252,0.592599970843218,-0.09386067902413851,10.0,6.0,38.0,0.6,10771530154340.0,330154340.0,-9.0
0.003918477334082127,0.5756634473800659,0.07068421691656113,0.003918477202073788,0.5756634317863515,0.07068421917498553,32.0,7.0,39.0,0.58,10771530154342.0,330154342.0,7.0
0.003824931103736162,0.5478721261024475,-0.0672718808054924,0.003824931119376145,0.5478721241234423,-0.06727187755964141,24.0,8.0,40.0,0.552,10771530154345.0,330154345.0,-7.0
0.004141665995121002,0.5787705779075623,0.09167059510946274,0.004141665887285286,0.5787705489557354,0.09167059651357529,56.0,9.0,41.0,0.586,10771530154347.0,330154347.0,9.0
0.004049021285027266,0.5658240914344788,-0.04950446262955666,0.004049021469789458,0.5658241013592852,-0.04950446188066984,7.0,10.0,41.0,0.5680000000000001,10771530154349.0,330154349.0,-5.0
0.004144687671214342,0.565402090549469,0.109905980527401,0.00414468785439402,0.5654020665234298,0.1099059813368898,42.0,11.0,42.0,0.5760000000000001,10771530154352.0,330154352.0,11.0
0.004241921007633209,0.565208375453949,-0.02962215058505535,0.004241921075025855,0.5652083989661624,-0.02962215123350621,30.0,12.0,43.0,0.5660000000000001,10771530154354.0,330154354.0,-3.0
0.004280019551515579,0.5573232173919678,0.1286720037460327,0.004280019394773764,0.5573232428816814,0.1286720030846908,37.0,13.0,44.0,0.5720000000000001,10771530154356.0,330154356.0,13.0
0.004240460693836212,0.539901077747345,-0.0094242999330163,0.004240460538844971,0.5399011030492553,-0.009424299476133097,8.0,14.0,45.0,0.54,10771530154359.0,330154359.0,-1.0
0.004497822374105454,0.5602189302444458,0.150115042924881,0.004497822424722911,0.560218923734265,0.150115046159462,33.0,15.0,46.0,0.58,10771530154361.0,330154361.0,15.0
0.005489885341376066,0.5718865394592285,0.009982776828110218,0.00548988523701345,0.5718865318695593,0.00998277648212617,44.0,1.0,55.0,0.5720000000000001,10771530154384.0,330154384.0,1.0
0.005758573301136494,0.5891633033752441,0.03087821416556835,0.005758573282558875,0.5891632835832502,0.03087821418333686,24.0,3.0,56.0,0.59,10771530154389.0,330154389.0,3.0
0.005273335613310337,0.5300524234771729,-0.1030368581414223,0.005273335414374772,0.5300524482817197,-0.1030368575033342,12.0,4.0,57.0,0.54,10771530154391.0,330154391.0,-11.0
0.005748003721237183,0.5678018927574158,0.04967877268791199,0.005748003521790258,0.5678018844036595,0.04967877336616516,8.0,5.0,58.0,0.5700000000000001,10771530154393.0,330154393.0,5.0
0.005736153107136488,0.5570266842842102,-0.08822903782129288,0.005736153109584407,0.5570266899810234,-0.08822903828269021,11.0,6.0,59.0,0.5640000000000001,10771530154395.0,330154395.0,-9.0
0.006049150135368109,0.5776301622390747,0.07092795521020889,0.006049150292781916,0.5776301866889321,0.07092795786179583,32.0,7.0,60.0,0.582,10771530154398.0,330154398.0,7.0
0.005875225178897381,0.5518243908882141,-0.06775935739278793,0.00587522495117565,0.5518243847011486,-0.067759354933262,23.0,8.0,61.0,0.556,10771530154400.0,330154400.0,-7.0
0.006284313276410103,0.5807267427444458,0.09198346734046936,0.00628431339016148,0.5807267425305899,0.09198346544365575,55.0,9.0,62.0,0.588,10771530154402.0,330154402.0,9.0
0.00607972452417016,0.561820924282074,-0.0491558387875557,0.006079724662173451,0.5618209149267388,-0.04915583890967921,7.0,10.0,62.0,0.5640000000000001,10771530154405.0,330154405.0,-5.0
0.006065855268388987,0.5516411066055298,0.1072346568107605,0.006065855464084943,0.5516411279794003,0.1072346554016182,49.0,11.0,63.0,0.562,10771530154407.0,330154407.0,11.0
0.006335793994367123,0.567186176776886,-0.02972682379186153,0.006335794058292254,0.5671861896232117,-0.0297268231459921,33.0,12.0,64.0,0.5680000000000001,10771530154409.0,330154409.0,-3.0
0.006322682369500399,0.557303786277771,0.1286720037460327,0.006322682446341021,0.5573038123939725,0.1286720030846908,43.0,13.0,65.0,0.5720000000000001,10771530154412.0,330154412.0,13.0
0.006265337113291025,0.5438810586929321,-0.009494109079241753,0.006265337177212648,0.5438810600144277,-0.00949410910188223,8.0,14.0,66.0,0.544,10771530154414.0,330154414.0,-1.0
0.006408818531781435,0.5563363432884216,0.1490797698497772,0.006408818318649235,0.5563363633906664,0.149079769979052,37.0,15.0,66.0,0.5760000000000001,10771530154416.0,330154416.0,15.0
