Angle: 89.26000008714833, Azimuth: 0.74
Angle: 88.85999710685432, Azimuth: 1.14
Angle: 88.47000297683428, Azimuth: 1.53
Angle: 88.07000278991315, Azimuth: 1.93
Angle: 87.67999747483007, Azimuth: 2.32
Angle: 0.0, Azimuth: 2.72
Angle: 86.86999430153861, Azimuth: 3.13
Angle: 86.47999711270286, Azimuth: 3.52
Angle: 86.07997682849836, Azimuth: 3.92
Angle: 85.67999572800231, Azimuth: 4.32
Angle: 85.30002005362755, Azimuth: 4.7
Angle: 84.8899922467759, Azimuth: 5.11
Angle: 84.50000523478471, Azimuth: 5.5
Angle: 84.08999070157392, Azimuth: 5.91
Angle: 83.70000605769206, Azimuth: 6.3
Angle: 83.28998490872583, Azimuth: 6.71
Angle: 82.90999315682853, Azimuth: 7.09
Angle: 82.51001509689466, Azimuth: 7.49
Angle: 82.09001166400124, Azimuth: 7.91
Angle: 81.71000122218315, Azimuth: 8.29
Angle: 81.31002358048971, Azimuth: 8.69
Angle: 80.90999039800549, Azimuth: 9.09
Angle: 80.50002133538652, Azimuth: 9.5
Angle: 80.09998015614221, Azimuth: 9.9
Angle: 79.71997552939816, Azimuth: 10.28
Angle: 79.31997837850072, Azimuth: 10.68
Angle: 78.91998787917879, Azimuth: 11.08
Angle: 78.52001820292075, Azimuth: 11.48
Angle: 78.11003526002261, Azimuth: 11.89
Angle: 77.71997232145435, Azimuth: 12.28
Angle: 77.32000949557717, Azimuth: 12.68
Angle: 76.92001179771549, Azimuth: 13.08
Angle: 76.53001584199748, Azimuth: 13.47
Angle: 76.11996860999635, Azimuth: 13.88
Angle: 75.73001744487631, Azimuth: 14.27
Angle: 75.33000515547988, Azimuth: 14.67
Angle: 74.92997660071315, Azimuth: 15.07
Angle: 74.52998659474596, Azimuth: 15.47
Angle: 74.13001066951477, Azimuth: 15.87
Angle: 73.7299878338801, Azimuth: 16.27
Angle: 0.0, Azimuth: 16.67
Angle: 0.0, Azimuth: 17.07
Angle: 0.0, Azimuth: 17.45
Angle: 0.0, Azimuth: 17.85
Angle: 71.75001932477804, Azimuth: 18.25
Angle: 71.35000706267849, Azimuth: 18.65
Angle: 70.95003456240484, Azimuth: 19.05
Angle: 70.55999406892214, Azimuth: 19.44
Angle: 70.16001654267808, Azimuth: 19.84
Angle: 69.76001380263, Azimuth: 20.24
Angle: 69.3599541151444, Azimuth: 20.64
Angle: 68.95994506382826, Azimuth: 21.04
Angle: 68.55995447822836, Azimuth: 21.44
Angle: 68.16002621212502, Azimuth: 21.84
Angle: 67.77000251750196, Azimuth: 22.23
Angle: 67.36003068534781, Azimuth: 22.64
Angle: 66.9699660108665, Azimuth: 23.03
Angle: 0.0, Azimuth: 23.43
Angle: 0.0, Azimuth: 23.83
Angle: 0.0, Azimuth: 24.23
Angle: 0.0, Azimuth: 24.63
Angle: 0.0, Azimuth: 25.03
Angle: 0.0, Azimuth: 25.43
Angle: 0.0, Azimuth: 25.83
Angle: 63.78004395251145, Azimuth: 26.22
Angle: 63.37991576527294, Azimuth: 26.62
Angle: 62.979946551282474, Azimuth: 27.02
Angle: 62.58002171643359, Azimuth: 27.42
Angle: 62.179918447682546, Azimuth: 27.82
Angle: 61.779973075103015, Azimuth: 28.22
Angle: 61.37992940483161, Azimuth: 28.62
Angle: 60.99996779983217, Azimuth: 29.0
Angle: 60.58996525442277, Azimuth: 29.41
Angle: 60.190043696398924, Azimuth: 29.81
Angle: 59.799986746936845, Azimuth: 30.2
Angle: 59.389995197927774, Azimuth: 30.61
Angle: 58.99995175451899, Azimuth: 31.0
Angle: 58.61002895982655, Azimuth: 31.39
Angle: 58.19004723027749, Azimuth: 31.81
Angle: 57.810083912199126, Azimuth: 32.19
Angle: 57.400098096422745, Azimuth: 32.6
Angle: 57.00998530896206, Azimuth: 32.99
Angle: 56.60002994832846, Azimuth: 33.4
Angle: 56.20992444311751, Azimuth: 33.79
Angle: 55.81990869581799, Azimuth: 34.18
Angle: 55.41006675675868, Azimuth: 34.59
Angle: 55.01005789475229, Azimuth: 34.99
Angle: 54.620105948741426, Azimuth: 35.38
Angle: 54.21995080946904, Azimuth: 35.78
Angle: 53.82008230143793, Azimuth: 36.18
Angle: 53.41000598623393, Azimuth: 36.59
Angle: 53.019955583289494, Azimuth: 36.98
Angle: 52.629851945974444, Azimuth: 37.37
Angle: 52.21988833463592, Azimuth: 37.78
Angle: 51.830049653382275, Azimuth: 38.17
Angle: 51.43009572356331, Azimuth: 38.57
Angle: 51.029980744511015, Azimuth: 38.97
Angle: 50.630075097229835, Azimuth: 39.37
Angle: 50.229841869748796, Azimuth: 39.77
Angle: 49.83995144392979, Azimuth: 40.16
Angle: 49.43990967474422, Azimuth: 40.56
Angle: 49.050037402930286, Azimuth: 40.95
Angle: 48.640109663018755, Azimuth: 41.36
Angle: 48.25009748056937, Azimuth: 41.75
Angle: 0.0, Azimuth: 42.16
Angle: 0.0, Azimuth: 42.56
Angle: 47.03990669813376, Azimuth: 42.96
Angle: 46.64012996997377, Azimuth: 43.36
Angle: 46.24009904218785, Azimuth: 43.76
Angle: 45.8400711519329, Azimuth: 44.16
Angle: 45.460025758472725, Azimuth: 44.54
Angle: 45.05001123017476, Azimuth: 44.95
Angle: 44.64997415379005, Azimuth: 45.35
Angle: 44.26006879686919, Azimuth: 45.74
Angle: 43.869967069216386, Azimuth: 46.13
Angle: 43.46000094620852, Azimuth: 46.54
Angle: 0.0, Azimuth: 46.94
Angle: 42.66995558242393, Azimuth: 47.33
Angle: 42.259942631544845, Azimuth: 47.74
Angle: 41.85995848623875, Azimuth: 48.14
Angle: 41.47008072768848, Azimuth: 48.53
Angle: 41.07007548931582, Azimuth: 48.93
Angle: 40.669946886011296, Azimuth: 49.33
Angle: 40.269980416914656, Azimuth: 49.73
Angle: 39.880044951089374, Azimuth: 50.12
Angle: 39.47989034297432, Azimuth: 50.52
Angle: 39.08002247041977, Azimuth: 50.92
Angle: 38.680022099231714, Azimuth: 51.32
Angle: 38.27998102137432, Azimuth: 51.72
Angle: 37.89989804211314, Azimuth: 52.1
Angle: 37.48994572917974, Azimuth: 52.51
Angle: 37.10010536855377, Azimuth: 52.9
Angle: 36.699992438527126, Azimuth: 53.3
Angle: 36.29000179139533, Azimuth: 53.71
Angle: 35.89994647619259, Azimuth: 54.1
Angle: 35.49000935634645, Azimuth: 54.51
Angle: 35.11005906337475, Azimuth: 54.89
Angle: 34.699970979898076, Azimuth: 55.3
Angle: 34.310044010578956, Azimuth: 55.69
Angle: 33.91001996896887, Azimuth: 56.09
Angle: 33.4999976093554, Azimuth: 56.5
Angle: 33.10994938190713, Azimuth: 56.89
Angle: 32.700042407437216, Azimuth: 57.3
Angle: 32.3101134679618, Azimuth: 57.69
Angle: 31.899919480252738, Azimuth: 58.1
Angle: 31.520100468670314, Azimuth: 58.48
Angle: 31.119973322146407, Azimuth: 58.88
Angle: 30.72005869576639, Azimuth: 59.28
Angle: 0.0, Azimuth: 59.68
Angle: 0.0, Azimuth: 60.08
Angle: 0.0, Azimuth: 60.48
Angle: 29.120041402211044, Azimuth: 60.88
Angle: 0.0, Azimuth: 61.27
Angle: 0.0, Azimuth: 61.68
Angle: 0.0, Azimuth: 62.07
Angle: 27.530051989213597, Azimuth: 62.47
Angle: 27.12999691567909, Azimuth: 62.87
Angle: 0.0, Azimuth: 63.27
Angle: 0.0, Azimuth: 63.67
Angle: 0.0, Azimuth: 64.05
Angle: 25.55003869262655, Azimuth: 64.45
Angle: 0.0, Azimuth: 64.86
Angle: 24.74999468046512, Azimuth: 65.25
Angle: 24.35003937662744, Azimuth: 65.65
Angle: 23.950049247159672, Azimuth: 66.05
Angle: 23.549975460537777, Azimuth: 66.45
Angle: 23.16003879893173, Azimuth: 66.84
Angle: 22.760050827674554, Azimuth: 67.24
